osm_id,osm_type,name_osm,amenity,cuisine,opening_hours,phone,website,delivery,takeaway,lat,lon,has_opening_hours,has_phone,has_website,has_delivery,has_takeaway,data_completeness_score
415826788,node,Mie Hokkien Rajake,restaurant,,,,,,,-7.2658834,112.7560738,0,0,0,0,0,0
415826789,node,Cafe Glass,cafe,,,,,,,-7.2661303,112.7646912,0,0,0,0,0,0
420468986,node,Ah Yat Abalone Forum,restaurant,chinese,,,,,,-7.2921492,112.7153034,0,0,0,0,0,0
421219476,node,Daun Lada,restaurant,indonesian,,,,,,-7.282439,112.7068932,0,0,0,0,0,0
421991642,node,Kuningan Restaurant,restaurant,indonesian,,,,,,-7.2716247,112.750176,0,0,0,0,0,0
1340762170,node,D' Cost,restaurant,"seafood, crab",Mo-Su 11:00-21:00,+62317342002,https://dcostseafood.com/,,,-7.2945494,112.6762066,1,1,1,0,0,3
1340818669,node,Bon Cafe,cafe,steak_house,Mo-Su 09:00-22:30,,https://www.boncafellas.com/,,,-7.2957078,112.6760649,1,0,1,0,0,2
1548354004,node,Mr. Jack,fast_food,,24/7,+62 31 5937465,,,,-7.294936,112.767632,1,1,0,0,0,2
1956411994,node,Double Happiness,restaurant,,,,,,,-7.2679015,112.7371751,0,0,0,0,0,0
2106529491,node,KFC,fast_food,chicken,,,,,yes,-7.2663663,112.7963246,0,0,0,0,1,1
2106529511,node,McDonald's Mulyosari,fast_food,,,,,,,-7.2667319,112.796385,0,0,0,0,0,0
2106536249,node,Pizza Hut,restaurant,pizza,,,,,,-7.2660141,112.7962171,0,0,0,0,0,0
2106536258,node,SAS Cafe & Resto,restaurant,,,,,,,-7.2704261,112.7986184,0,0,0,0,0,0
2633385707,node,Warkop Nobar,cafe,"kopi,_teh,_juice, coklat, roti bakar, dll",16:00-02:00,,,,,-7.2531434,112.6447475,1,0,0,0,0,1
2938710618,node,Depot Sari Sop Buntut,restaurant,asian,,,,,,-7.23698,112.7388116,0,0,0,0,0,0
2938728761,node,Pecel Kebon Rojo,restaurant,asian,,,,,,-7.2430189,112.7383002,0,0,0,0,0,0
3123675668,node,Bebek Goreng Hj. Slamet,restaurant,Javanese,,,,,,-7.2744912,112.7481806,0,0,0,0,0,0
3166309004,node,Holycow! Steakhouse by Chef Afit,restaurant,steak_house;american,Mo-Su 11:00-22:00,,,,,-7.2666247,112.7399292,1,0,0,0,0,1
3310860033,node,Lamongan Indah,restaurant,regional,16:00-23:00,,,,,-7.2702372,112.7605562,1,0,0,0,0,1
3317227635,node,The Café,cafe,international,Mo-Su 11:00-21:00,,https://houseofsampoerna.museum/e_historybeauty_cafe.htm,,,-7.2310091,112.7344491,1,0,1,0,0,2
3773465058,node,Bebek Goreng H. Slamet,restaurant,regional,,,,,,-7.3204609,112.7568277,0,0,0,0,0,0
3953125335,node,Starbucks,cafe,coffee_shop,,,,,yes,-7.2621634,112.7504732,0,0,0,0,1,1
4114686989,node,Fat Choi Noodle,restaurant,noodle,,,,,,-7.2772972,112.7491781,0,0,0,0,0,0
4187484631,node,3M Makassar,restaurant,,,,,,,-7.3030962,112.781233,0,0,0,0,0,0
4187488347,node,Six and Eat,restaurant,,,,,,,-7.259623,112.7555903,0,0,0,0,0,0
4187553284,node,A Cafe,restaurant,,,,,,,-7.2633233,112.740487,0,0,0,0,0,0
4187560888,node,A&W Tamansari Papilio,fast_food,,,,,,,-7.3310943,112.7302842,0,0,0,0,0,0
4187560940,node,A&W Puri Mas,fast_food,,,,,,,-7.3323912,112.7853387,0,0,0,0,0,0
4188596247,node,Al hamra restaurant,restaurant,,,,,,,-7.2592403,112.7461506,0,0,0,0,0,0
4188606200,node,K1 Karaoke Lounge,cafe,,,,,,,-7.242816,112.7413808,0,0,0,0,0,0
4188627398,node,Gudeg Bu Toegijo,restaurant,,,,,,,-7.2792009,112.7576856,0,0,0,0,0,0
4188627920,node,"KACANG IJO PUCANG ANOM ""PASAR PUCANG""",restaurant,,,,,,,-7.2854392,112.7528843,0,0,0,0,0,0
4188634711,node,AIE DOHO,restaurant,,,,,,,-7.2818601,112.7439225,0,0,0,0,0,0
4188652874,node,Aiola Eatery,restaurant,,,,,,,-7.258735,112.7502426,0,0,0,0,0,0
4188712496,node,Hanamasa,restaurant,japanese,,,,,,-7.2659117,112.7513729,0,0,0,0,0,0
4188717314,node,"Hapsari (Tahu Bakso Semarang, Siomay)",restaurant,,,,,,,-7.2622627,112.7404451,0,0,0,0,0,0
4188724989,node,Mie Ayam Lumayan,fast_food,,,,,,,-7.325668,112.7755186,0,0,0,0,0,0
4188777124,node,High Point Cafe Speciality,cafe,,,,,,,-7.337004,112.7388901,0,0,0,0,0,0
4188778818,node,Historica Coffee & Pastry,cafe,,,,,,,-7.2694972,112.7494463,0,0,0,0,0,0
4188783624,node,Rawon Calculator,restaurant,,,,,,,-7.2916281,112.7401696,0,0,0,0,0,0
4188788108,node,Rawon Setan,restaurant,,,,,,,-7.2592042,112.7351462,0,0,0,0,0,0
4188793761,node,Hok Siong,restaurant,chinese,,,,,,-7.2580236,112.7323546,0,0,0,0,0,0
4188865096,node,Kedai kopi SINGGALANG,cafe,,,,,,,-7.2492813,112.7307395,0,0,0,0,0,0
4188912789,node,"RM ""PADIN"" Aneka Penyetan (Bu. Dewi Achmad)",restaurant,,,,,,,-7.2557805,112.7324482,0,0,0,0,0,0
4188930090,node,Kepiting Cak Gundul 1992,restaurant,,,,,,,-7.2782792,112.7078732,0,0,0,0,0,0
4189063901,node,Autonet,cafe,,,,,,,-7.2819951,112.7425595,0,0,0,0,0,0
4189116356,node,Ayam Bakar Primarasa,restaurant,,,,,,,-7.3301122,112.7303911,0,0,0,0,0,0
4189119761,node,Ayam Bakar Wong Solo,restaurant,,,,,,,-7.2599043,112.7438561,0,0,0,0,0,0
4189121072,node,Ayam Goreng Asli Pemuda,restaurant,,,,,,,-7.2578742,112.7310267,0,0,0,0,0,0
4189124624,node,Ayam Goreng President,restaurant,,,,,,,-7.2580177,112.7324236,0,0,0,0,0,0
