provinsi,using_internet_pct,not_using_internet_pct,promotion_pct,ordering_pct,purchase_payment_pct,other_purpose_pct,website_pct,email_marketing_pct,instant_message_pct,social_media_pct,marketplace_platform_pct,total_revenue_million,employee_compensation_million,operational_cost_million,raw_material_cost_million,other_cost_million,total_cost_million,average_assets_rupiah
Aceh,15.06,84.94,9.80,9.46,6.42,0.87,0.60,1.24,3.29,12.15,7.08,15851697.33,1415941.32,1088335.72,8304993.87,107544.82,10916815.73,15941189
Sumatera Utara,20.33,79.67,11.60,14.00,6.69,0.44,0.09,0.08,5.07,15.85,10.74,39364457.74,2730054.95,2532493.61,20497894.59,409970.87,26170410.02,9590222
Sumatera Barat,20.85,79.15,9.25,14.34,4.57,1.55,0.11,0.30,1.63,18.48,6.55,12074835.39,811691.89,687798.83,5910311.67,176431.63,7586234.02,8666542
Riau,22.91,77.09,14.39,17.36,8.38,0.31,0.03,0.07,4.58,18.96,10.42,19320759.18,1261425.10,1253831.90,9427406.06,302388.83,12245051.89,15200145
Jambi,30.55,69.45,21.68,21.02,9.21,0.54,0.02,0.02,4.52,26.25,16.11,6179224.87,495698.66,467365.50,2874054.24,142620.32,3979738.72,8201385
Sumatera Selatan,33.65,66.35,22.92,23.50,10.36,0.44,0.32,0.48,8.54,27.98,11.90,18248822.90,1452651.57,1385694.77,8294421.85,199386.72,11422154.91,12020880
Bengkulu,32.13,67.87,23.50,22.11,8.29,1.25,0.01,1.29,4.52,30.47,16.68,4604697.47,421182.19,415356.65,2414974.82,93233.11,3344746.77,33563768
Lampung,34.95,65.05,18.66,27.56,4.80,2.26,0.05,0.01,2.88,32.92,9.00,11972992.47,686592.98,682849.20,5965544.32,118874.42,7453761.92,12669933
Kep. Bangka Belitung,30.99,69.01,22.38,18.41,7.42,0.18,0.02,0.18,6.70,26.52,13.03,4288488.82,413721.58,276594.73,2018264.23,36616.59,2745197.13,12639320
Kepulauan Riau,43.06,56.94,26.03,36.10,19.70,0.89,0.20,0.06,10.98,35.29,11.18,10054453.45,1071895.60,647138.98,4214069.43,279242.54,6212346.91,29755508
DKI Jakarta,40.33,59.67,16.74,29.97,16.47,1.41,0.74,0.90,16.14,35.17,7.37,181462229.78,16732086.03,13064971.56,61099197.12,10467595.98,101363850.69,25737555
Jawa Barat,34.78,65.22,18.53,29.02,5.67,0.21,0.07,0.09,4.62,33.27,4.77,167108446.06,7826521.01,9907710.96,89827989.47,2050591.10,109612813.04,9113870
